variant,pearson,spearman
LOO_GHR,0.9900471345322385,0.9890346032275013
LOO_IGF1,0.9879182814288285,0.9857941282588537
LOO_IGF1R,0.9891117552896673,0.9887132258861596
LOO_IRS1,0.9895987862866863,0.9887927019101788
LOO_IRS2,0.9893187902273979,0.9878695258914126
LOO_PIK3CA,0.9901600383308113,0.9891895319688061
LOO_PIK3CB,0.9914382353638933,0.9906456861174031
LOO_PDPK1,0.9921657716275651,0.9913416238859631
LOO_AKT1,0.9914618103384385,0.9899642856876244
LOO_AKT2,0.9914626186711186,0.991342111083263
LOO_MTOR,0.9921169328517423,0.991150705408648
LOO_RPTOR,0.9930835621548494,0.9921290290185318
LOO_RPS6KB1,0.9915271681657781,0.9907397309122874
LOO_EIF4EBP1,0.985734755757527,0.9845376149908407
LOO_BCL2L11,0.9440493452011658,0.940086707760711
LOO_CDKN1B,0.9398628706555451,0.9390802995839059
LOO_GADD45A,0.9340664665534563,0.9304299229352095
LOO_SESN3,0.9329020569203021,0.9261043338517922
LOO_SOD2,0.9338791592060776,0.9292297673935426
LOO_CAT,0.9328965510744548,0.928325403476962
winsor,0.9930310794253301,0.9961973307795811
robust,0.5976995134447914,0.7427449583821527
within_gene,0.980929919033721,0.9807218071593721
axis_only,0.48915595521653304,0.4854666098741297
foxo_only,0.5187292876966129,0.5084757282037847
